Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
210,tt28429720,2024-06-14,2024-06-14,,"The Boys: We'll Keep the Red Flag Flying Here","The Boys: We'll Keep the Red Flag Flying Here",https://www.imdb.com/title/tt28429720/,Episódio de TV,7.5,60,2024,"Ação, Comédia, Policial, Drama, Ficção científica",19928,2024-06-13,"Frederick E.O. Toye",,
211,tt21912342,2024-06-17,2024-06-17,,"A Casa do Dragão: A Son for a Son","House of the Dragon: A Son for a Son",https://www.imdb.com/title/tt21912342/,Episódio de TV,8.2,59,2024,"Ação, Aventura, Drama, Fantasia, Romance",41249,2024-06-17,"Alan Taylor",,
212,tt27133251,2024-06-25,2024-06-25,,"A Casa do Dragão: Rhaenyra the Cruel","House of the Dragon: Rhaenyra the Cruel",https://www.imdb.com/title/tt27133251/,Episódio de TV,8.2,69,2024,"Ação, Aventura, Drama, Fantasia, Romance",35828,2024-06-23,"Clare Kilner",,
213,tt28429721,2024-06-27,2024-06-27,,"The Boys: Wisdom of the Ages","The Boys: Wisdom of the Ages",https://www.imdb.com/title/tt28429721/,Episódio de TV,8.9,63,2024,"Ação, Comédia, Policial, Drama, Ficção científica",28249,2024-06-20,"Philip Sgriccia",,
214,tt15387030,2024-06-27,2024-06-27,,"The Acolyte: Day","The Acolyte: Day",https://www.imdb.com/title/tt15387030/,Episódio de TV,4.9,30,2024,"Ação, Aventura, Fantasia, Mistério, Ficção científica, Suspense",18887,2024-06-18,"Alex Garcia Lopez",,
215,tt15387052,2024-06-27,2024-06-27,,"The Acolyte: Night","The Acolyte: Night",https://www.imdb.com/title/tt15387052/,Episódio de TV,6.5,34,2024,"Ação, Aventura, Fantasia, Mistério, Ficção científica, Suspense",18675,2024-06-25,"Alex Garcia Lopez",,
216,tt27507018,2024-06-28,2024-06-28,,"The Boys: Beware the Jabberwock, My Son","The Boys: Beware the Jabberwock, My Son",https://www.imdb.com/title/tt27507018/,Episódio de TV,8.1,68,2024,"Ação, Comédia, Policial, Drama, Ficção científica",20275,2024-06-27,"Shana Stein",,
217,tt2096673,2024-07-01,2024-07-01,,"Divertida Mente","Inside Out",https://www.imdb.com/title/tt2096673/,Filme,8.1,95,2015,"Animação, Aventura, Comédia, Drama, Família, Fantasia",898249,2015-06-18,"Pete Docter, Ronnie Del Carmen",,
218,tt4941804,2024-07-01,2024-07-01,,"O Primeiro Encontro de Riley?","Riley's First Date?",https://www.imdb.com/title/tt4941804/,Vídeo,7.4,5,2015,"Animação, Curta-Metragem, Comédia, Família, Romance",11791,2015-11-04,"Josh Cooley",,
219,tt27172708,2024-07-01,2024-07-01,,"A Casa do Dragão: The Burning Mill","House of the Dragon: The Burning Mill",https://www.imdb.com/title/tt27172708/,Episódio de TV,7.6,66,2024,"Ação, Aventura, Drama, Fantasia, Romance",33990,2024-06-30,"Geeta Vasant Patel",,
220,tt22022452,2024-07-02,2024-07-02,,"Divertida Mente 2","Inside Out 2",https://www.imdb.com/title/tt22022452/,Filme,7.5,96,2024,"Animação, Aventura, Comédia, Drama, Família, Fantasia, Esportes",240817,2024-06-20,"Kelsey Mann",,
221,tt15387054,2024-07-03,2024-07-03,,"The Acolyte: Teach/Corrupt","The Acolyte: Teach/Corrupt",https://www.imdb.com/title/tt15387054/,Episódio de TV,5.1,36,2024,"Ação, Aventura, Fantasia, Mistério, Ficção científica, Suspense",13947,2024-07-02,"Hanelle M. Culpepper",,
222,tt28429722,2024-07-04,2024-07-04,,"The Boys: Dirty Business","The Boys: Dirty Business",https://www.imdb.com/title/tt28429722/,Episódio de TV,7.5,65,2024,"Ação, Comédia, Policial, Drama, Ficção científica",20407,2024-07-04,"Karen Gaviola",,
223,tt27179976,2024-07-08,2024-07-08,,"A Casa do Dragão: The Red Dragon and the Gold","House of the Dragon: The Red Dragon and the Gold",https://www.imdb.com/title/tt27179976/,Episódio de TV,9.4,55,2024,"Ação, Aventura, Drama, Fantasia, Romance",60365,2024-07-07,"Alan Taylor",10,2024-07-08
224,tt26315566,2024-07-10,2024-07-10,,"A Final: Caos em Wembley","The Final: Attack on Wembley",https://www.imdb.com/title/tt26315566/,Filme,6.3,82,2024,"Documentário, Policial, Esportes",2694,2024-05-08,"Robert Miller, Kwabena Oppong",,
225,tt27146733,2024-07-15,2024-07-15,,"A Casa do Dragão: Regent","House of the Dragon: Regent",https://www.imdb.com/title/tt27146733/,Episódio de TV,7.3,62,2024,"Ação, Aventura, Drama, Fantasia, Romance",32546,2024-07-14,"Clare Kilner",,
226,tt15387058,2024-07-16,2024-07-16,,"The Acolyte: Choice","The Acolyte: Choice",https://www.imdb.com/title/tt15387058/,Episódio de TV,4.7,41,2024,"Ação, Aventura, Fantasia, Mistério, Ficção científica, Suspense",13667,2024-07-09,"Kogonada",,
227,tt16274268,2024-07-17,2024-07-17,,"The Acolyte: The Acolyte","The Acolyte: The Acolyte",https://www.imdb.com/title/tt16274268/,Episódio de TV,5.2,46,2024,"Ação, Aventura, Fantasia, Mistério, Ficção científica, Suspense",13146,2024-07-16,"Hanelle M. Culpepper",,
228,tt28429723,2024-07-17,2024-07-17,,"The Boys: The Insider","The Boys: The Insider",https://www.imdb.com/title/tt28429723/,Episódio de TV,8.2,64,2024,"Ação, Comédia, Policial, Drama, Ficção científica",18079,2024-07-11,"Catriona McKenzie",,
229,tt32330860,2024-07-17,2024-07-17,,"O Urso: Next","The Bear: Next",https://www.imdb.com/title/tt32330860/,Episódio de TV,8.1,28,2024,"Comédia, Drama",7307,2024-06-27,"Christopher Storer",,
230,tt32330865,2024-07-17,2024-07-17,,"O Urso: Violet","The Bear: Violet",https://www.imdb.com/title/tt32330865/,Episódio de TV,7.5,34,2024,"Comédia, Drama",6025,2024-06-27,"Christopher Storer",,
231,tt32330862,2024-07-17,2024-07-17,,"O Urso: Doors","The Bear: Doors",https://www.imdb.com/title/tt32330862/,Episódio de TV,8.5,30,2024,"Comédia, Drama",7155,2024-06-27,"Duccio Fabbri",,
232,tt29808372,2024-07-17,2024-07-17,,"O Urso: Tomorrow","The Bear: Tomorrow",https://www.imdb.com/title/tt29808372/,Episódio de TV,8.4,37,2024,"Comédia, Drama",11637,2024-06-27,"Christopher Storer",,
233,tt26660301,2024-07-19,2024-07-19,,"The Boys: Season Four Finale","The Boys: Season Four Finale",https://www.imdb.com/title/tt26660301/,Episódio de TV,9.1,65,2024,"Ação, Comédia, Policial, Drama, Ficção científica",31446,2024-07-18,"Eric Kripke",,
234,tt26947923,2024-07-22,2024-07-22,,"A Casa do Dragão: Smallfolk","House of the Dragon: Smallfolk",https://www.imdb.com/title/tt26947923/,Episódio de TV,6.3,67,2024,"Ação, Aventura, Drama, Fantasia, Romance",53176,2024-07-21,"Andrij Parekh",10,2024-07-22
235,tt27179981,2024-07-29,2024-07-29,,"A Casa do Dragão: The Red Sowing","House of the Dragon: The Red Sowing",https://www.imdb.com/title/tt27179981/,Episódio de TV,8.8,64,2024,"Ação, Aventura, Drama, Fantasia, Romance",38810,2024-07-28,"Loni Peristere",10,2024-07-29
236,tt27160121,2024-08-05,2024-08-05,,"A Casa do Dragão: The Queen Who Ever Was","House of the Dragon: The Queen Who Ever Was",https://www.imdb.com/title/tt27160121/,Episódio de TV,6.5,69,2024,"Ação, Aventura, Drama, Fantasia, Romance",44932,2024-08-04,"Geeta Vasant Patel",,
237,tt32330880,2024-08-19,2024-08-19,,"O Urso: Children","The Bear: Children",https://www.imdb.com/title/tt32330880/,Episódio de TV,7.5,35,2024,"Comédia, Drama",6041,2024-06-27,"Christopher Storer",,
238,tt32330878,2024-08-20,2024-08-20,,"O Urso: Napkins","The Bear: Napkins",https://www.imdb.com/title/tt32330878/,Episódio de TV,9.1,34,2024,"Comédia, Drama",10095,2024-06-27,"Ayo Edebiri",10,2024-08-20
239,tt32330876,2024-08-20,2024-08-20,,"O Urso: Legacy","The Bear: Legacy",https://www.imdb.com/title/tt32330876/,Episódio de TV,7.3,29,2024,"Comédia, Drama",5678,2024-06-27,"Joanna Calo",,
240,tt32330869,2024-08-22,2024-08-22,,"O Urso: Ice Chips","The Bear: Ice Chips",https://www.imdb.com/title/tt32330869/,Episódio de TV,8.2,40,2024,"Comédia, Drama",8557,2024-06-27,"Christopher Storer",,
241,tt32330868,2024-08-23,2024-08-23,,"O Urso: Apologies","The Bear: Apologies",https://www.imdb.com/title/tt32330868/,Episódio de TV,7.3,44,2024,"Comédia, Drama",5309,2024-06-27,"Christopher Storer",,
242,tt32330866,2024-08-23,2024-08-23,,"O Urso: Forever","The Bear: Forever",https://www.imdb.com/title/tt32330866/,Episódio de TV,8.0,43,2024,"Comédia, Drama",6481,2024-06-27,"Christopher Storer",,
243,tt0317248,2024-08-23,2024-08-23,,"Cidade de Deus","Cidade de Deus",https://www.imdb.com/title/tt0317248/,Filme,8.6,130,2002,"Policial, Drama",861085,2002-08-30,"Fernando Meirelles, Kátia Lund",10,2024-08-26
244,tt32482566,2024-08-26,2024-08-26,,"Cidade de Deus: A Luta Não Para: Episode #1.1","Cidade de Deus: A Luta Não Para: Episode #1.1",https://www.imdb.com/title/tt32482566/,Episódio de TV,7.6,,2024,"Policial, Drama",308,2024-08-25,"Aly Muritiba",9,2024-08-26
