"CO_CURSO","NO_CURSO","FK_CO_IES"
1879,MEDICINA,21
1880,TEOLOGIA,21
1881,FILOSOFIA,21
1882,PEDAGOGIA,21
1883,ODONTOLOGIA,21
1885,LETRAS - LÍNGUA PORTUGUESA,21
1886,ENGENHARIA CIVIL,21
1887,SERVIÇO SOCIAL,21
1888,DIREITO,21
1890,CIÊNCIAS ECONÔMICAS,21
1893,GEOGRAFIA,21
1894,CIÊNCIAS SOCIAIS,21
1896,FÍSICA,21
1903,PSICOLOGIA,21
1904,CIÊNCIA DA COMPUTAÇÃO,21
1905,CIÊNCIAS BIOLÓGICAS,21
1906,QUÍMICA,21
1907,MATEMÁTICA,21
1914,ENGENHARIA MECÂNICA,21
1915,ENGENHARIA QUÍMICA,21
1916,ENGENHARIA ELÉTRICA,21
1923,CIÊNCIAS AERONÁUTICAS,21
1924,FARMÁCIA,21
1925,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,21
2007,QUÍMICA,22
2009,CIÊNCIAS BIOLÓGICAS,22
2011,CIÊNCIAS ECONÔMICAS,22
2012,CIÊNCIAS CONTÁBEIS,22
2014,PEDAGOGIA,22
2015,DIREITO,22
2016,ARQUITETURA E URBANISMO,22
2019,DESIGN,22
2023,ENGENHARIA CIVIL,22
2024,ENGENHARIA MECÂNICA,22
2030,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,22
2082,CIÊNCIAS CONTÁBEIS,23
2085,PEDAGOGIA,23
2086,EDUCAÇÃO FÍSICA,23
2089,FISIOTERAPIA,23
2090,CIÊNCIA DA COMPUTAÇÃO,23
2104,ADMINISTRAÇÃO,24
2106,DIREITO,24
2108,FILOSOFIA,24
2109,LETRAS,24
2110,PEDAGOGIA - EDUCAÇÃO INFANTIL E ANOS INICIAIS,24
2111,CIÊNCIAS ECONÔMICAS,24
2112,ENFERMAGEM,24
2113,AGRONOMIA,24
2133,ENFERMAGEM,4
2137,ESTATÍSTICA,26
2139,ADMINISTRAÇÃO,27
2140,CIÊNCIAS CONTÁBEIS,27
2147,ODONTOLOGIA,27
2148,PEDAGOGIA,27
2174,PSICOLOGIA,1036
2191,MEDICINA VETERINÁRIA,29
2192,ENFERMAGEM,29
2194,MÚSICA,29
2197,FILOSOFIA,29
2198,CIÊNCIAS CONTÁBEIS,29
2199,HISTÓRIA,29
2202,NUTRIÇÃO,29
2204,PEDAGOGIA,29
2205,GEOGRAFIA,29
2206,HISTÓRIA,29
2208,PEDAGOGIA,29
2209,CIÊNCIA DA COMPUTAÇÃO,29
2211,PEDAGOGIA,29
2212,PEDAGOGIA,29
2213,HISTÓRIA,29
2214,SERVIÇO SOCIAL,29
2215,PEDAGOGIA,29
2216,PEDAGOGIA,29
2217,CIÊNCIAS SOCIAIS,29
2221,PEDAGOGIA,29
2289,PEDAGOGIA,30
2290,PSICOLOGIA,30
2295,MEDICINA VETERINÁRIA,30
2297,ODONTOLOGIA,30
2298,AGRONOMIA,30
2299,DIREITO,30
2304,MEDICINA,30
2305,ADMINISTRAÇÃO,30
2310,CIÊNCIA DA COMPUTAÇÃO,30
2312,DIREITO,30
2348,MEDICINA,32
2349,TERAPIA OCUPACIONAL,32
2350,FONOAUDIOLOGIA,32
2351,FISIOTERAPIA,32
2361,CONSTRUÇÃO CIVIL,34
2362,MECÂNICA,34
2364,MECÂNICA DE PRECISÃO,34
2365,AUTOMAÇÃO DE ESCRITÓRIOS E SECRETARIADO,34
2366,MICROELETRÔNICA,34
2386,SISTEMAS NAVAIS,37
2387,CONSTRUÇÃO NAVAL,37
2388,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,37
2392,MEDICINA,38
2393,FISIOTERAPIA,38
2394,TERAPIA OCUPACIONAL,38
2395,EDUCAÇÃO FÍSICA,38
2398,MATEMÁTICA,38
2425,ENGENHARIA INDUSTRIAL ELÉTRICA,3172
2442,ENGENHARIA AGRONÔMICA,40
2448,CIÊNCIAS CONTÁBEIS,40
2450,DESIGN,40
2451,NUTRIÇÃO,40
2471,CIÊNCIAS CONTÁBEIS,40
2473,URBANISMO,40
2525,EDUCAÇÃO FÍSICA,15015
2529,PEDAGOGIA,43
2531,BIBLIOTECONOMIA,43
2532,ADMINISTRAÇÃO,43
2534,ENGENHARIA ELÉTRICA,43
2535,MEDICINA VETERINÁRIA,43
2536,AGRONOMIA,43
2537,ENGENHARIA MECÂNICA,43
2538,ENGENHARIA CIVIL,43
2540,HISTÓRIA,43
2541,GEOGRAFIA,43
2544,FISIOTERAPIA,43
2545,FÍSICA,43
2547,MODA,43
2586,ENGENHARIA CIVIL,1869
2588,PEDAGOGIA,1869
2618,CIÊNCIAS ECONÔMICAS,47
2619,CIÊNCIAS CONTÁBEIS,47
2620,ADMINISTRAÇÃO,47
2622,GEOGRAFIA,47
2623,HISTÓRIA,47
2626,PEDAGOGIA,47
2645,PEDAGOGIA,3368
2647,EDUCAÇÃO FÍSICA,3368
2656,ENGENHARIA MECÂNICA,3368
2675,PEDAGOGIA,1036
2682,ESTATÍSTICA,54
2688,ENGENHARIA AGRÍCOLA,54
2689,ENGENHARIA QUÍMICA,54
2690,ENGENHARIA MECÂNICA,54
2691,ENGENHARIA ELÉTRICA,54
2692,ENGENHARIA CIVIL,54
2693,ENGENHARIA DE ALIMENTOS,54
2694,ODONTOLOGIA,54
2695,MEDICINA,54
2697,CIÊNCIAS ECONÔMICAS,54
2700,PEDAGOGIA,54
2701,ENFERMAGEM,54
